epoc (ms),timestamp (GMT-08:00),elapsed (s),Flexion/Extension (°)
1547686589461.2031,2019-01-16T16.56.29.461,10.0,14.1
1547686589561.2031,2019-01-16T16.56.29.561,10.1,12.9
1547686589661.203,2019-01-16T16.56.29.661,10.2,9.7
1547686589761.203,2019-01-16T16.56.29.761,10.3,6.7
1547686589861.203,2019-01-16T16.56.29.861,10.4,5.7
1547686589961.2031,2019-01-16T16.56.29.961,10.5,4.8
1547686590061.2031,2019-01-16T16.56.30.061,10.6,2.5
1547686590161.203,2019-01-16T16.56.30.161,10.7,1.1
1547686590261.203,2019-01-16T16.56.30.261,10.8,0.5
1547686590361.203,2019-01-16T16.56.30.361,10.9,-0.5
1547686590461.2031,2019-01-16T16.56.30.461,11.0,-2.1
1547686590561.2031,2019-01-16T16.56.30.561,11.1,-2.4
1547686590661.203,2019-01-16T16.56.30.661,11.2,-2.6
1547686590761.203,2019-01-16T16.56.30.761,11.3,-2.8
1547686590861.203,2019-01-16T16.56.30.861,11.4,-2.9
1547686590961.2031,2019-01-16T16.56.30.961,11.5,-2.9
1547686591061.2031,2019-01-16T16.56.31.061,11.6,-2.7
1547686591161.203,2019-01-16T16.56.31.161,11.7,-2.4
1547686591261.203,2019-01-16T16.56.31.261,11.8,-2.0
1547686591361.203,2019-01-16T16.56.31.361,11.9,-0.2
1547686591461.2031,2019-01-16T16.56.31.461,12.0,4.4
1547686591561.2031,2019-01-16T16.56.31.561,12.1,9.0
1547686591661.203,2019-01-16T16.56.31.661,12.2,13.1
1547686591761.203,2019-01-16T16.56.31.761,12.3,18.0
1547686591861.203,2019-01-16T16.56.31.861,12.4,24.2
1547686591961.2031,2019-01-16T16.56.31.961,12.5,30.6
1547686592061.2031,2019-01-16T16.56.32.061,12.6,36.8
1547686592161.203,2019-01-16T16.56.32.161,12.7,40.0
1547686592261.203,2019-01-16T16.56.32.261,12.8,42.3
1547686592361.203,2019-01-16T16.56.32.361,12.9,46.1
1547686592461.2031,2019-01-16T16.56.32.461,13.0,50.2
1547686592561.2031,2019-01-16T16.56.32.561,13.1,52.5
1547686592661.203,2019-01-16T16.56.32.661,13.2,54.9
1547686592761.203,2019-01-16T16.56.32.761,13.3,58.2
1547686592861.203,2019-01-16T16.56.32.861,13.4,60.0
1547686592961.2031,2019-01-16T16.56.32.961,13.5,61.4
1547686593061.2031,2019-01-16T16.56.33.061,13.6,65.0
1547686593161.203,2019-01-16T16.56.33.161,13.7,67.3
1547686593261.203,2019-01-16T16.56.33.261,13.8,70.3
1547686593361.203,2019-01-16T16.56.33.361,13.9,75.3
1547686593461.2031,2019-01-16T16.56.33.461,14.0,80.2
1547686593561.2031,2019-01-16T16.56.33.561,14.1,81.9
1547686593661.203,2019-01-16T16.56.33.661,14.2,83.9
1547686593761.203,2019-01-16T16.56.33.761,14.3,86.1
1547686593861.203,2019-01-16T16.56.33.861,14.4,86.5
1547686593961.2031,2019-01-16T16.56.33.961,14.5,87.1
1547686594061.2031,2019-01-16T16.56.34.061,14.6,87.7
1547686594161.203,2019-01-16T16.56.34.161,14.7,86.5
1547686594261.203,2019-01-16T16.56.34.261,14.8,85.0
1547686594361.203,2019-01-16T16.56.34.361,14.9,83.7
1547686594461.2031,2019-01-16T16.56.34.461,15.0,85.5
1547686594561.2031,2019-01-16T16.56.34.561,15.1,85.5
1547686594661.203,2019-01-16T16.56.34.661,15.2,83.2
1547686594761.203,2019-01-16T16.56.34.761,15.3,78.9
1547686594861.203,2019-01-16T16.56.34.861,15.4,82.6
1547686594961.2031,2019-01-16T16.56.34.961,15.5,79.4
